Horodateur;Quel âge avez-vous ?;De quel sexe êtes-vous ?;Quelle est votre situation professionnelle ?;Quel type de profession exercez ou exerciez-vous ?;De quel diplôme disposez-vous ?;Avez-vous accès à du matériel numérique;Quel type de matériel utilisez-vous ?;A quelle fréquence utilisez-vous ce matériel ?;A quelle fréquence allez-vous sur internet ?;Avez-vous déjà réalisé des démarches administratives en ligne ?;Si oui, étiez-vous seul ou accompagné ?;Avez-vous déjà fait appel à une aide extérieure pour réaliser une démarche en ligne ?;Dans quel cadre avez-vous réalisé des démarches en ligne ?;Jugez-vous facile d'utilisation les services en ligne ?;Quels sont selon vous les freins à l'utilisation de services en ligne ?;Avez-vous déjà abandonné ou repoussé à un autre moment une démarche en ligne à cause de la difficulté ?;Seriez-vous intéressé par une aide pour les démarches en ligne ?;Vous êtes-vous déjà déplacé sur place alors qu'une démarche en ligne était possible ?;Savez-vous qu'il existe des formations à l'usage du numérique ?;Avez-vous déjà participé à une telle formation ?;Ce type de formation vous a-t-il aidé dans vos démarches administratives ?;Pourquoi n'avez-vous jamais réalisé de démarches en ligne ?
2025/11/20 7:33:34 PM UTC+1;18-30 ans;Femme;Etudiant;Etudiant;Niveau BAC;Oui;"Téléphone;Tablette";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;"Achats (loisirs, travaux, courses...);Banque et Assurances";Oui;Sites complexes;Non;Oui;Oui;Oui;Non;;
2025/11/20 8:08:57 PM UTC+1;50-70 ans;Homme;Sans emploi;Employé;CAP;Oui;"Téléphone;Ordinateur";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;"Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Déclaration d'impôts";Non;"Sites complexes;Manque de contact humain";Oui;Non;Oui;Oui;Non;;
2025/11/20 8:31:46 PM UTC+1;30-50 ans;Homme;En emploi;Ouvrier;Niveau BAC;Oui;"Téléphone;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Déclaration d'impôts;Achats (loisirs, travaux, courses...);Banque et Assurances";Non;"Sites complexes;Manque de contact humain";Oui;Oui;Oui;Oui;Non;;
2025/11/20 10:08:33 PM UTC+1;18-30 ans;Femme;En emploi;Employé;BAC +5 (Master);Oui;"Téléphone;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;"Sites complexes;Utilisation du numérique difficile;Manque de contact humain";Oui;Oui;Oui;Oui;Non;;
2025/11/20 10:18:51 PM UTC+1;18-30 ans;Femme;Etudiant;Etudiant;BAC +2;Oui;"Téléphone;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Prise de rendez-vous;Achats (loisirs, travaux, courses...);Banque et Assurances";Oui;"Sites complexes;Utilisation du numérique difficile;Manque de contact humain";Oui;Non;Non;Oui;Non;;
2025/11/20 10:31:08 PM UTC+1;30-50 ans;Femme;En emploi;Employé;BAC +3 (Bachelor ou Licence);Oui;"Téléphone;Ordinateur";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;"Sites complexes;Utilisation du numérique difficile;Manque de contact humain";Oui;Oui;Non;Oui;Non;;
2025/11/20 10:38:19 PM UTC+1;30-50 ans;Homme;En emploi;Artisan, commerçant, indépendant;Niveau BAC;Oui;"Téléphone;Tablette;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;"Demande de documents administratifs (attestations, actes de naissance...);Prise de rendez-vous;Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Non;"Sites complexes;Manque de contact humain";Non;Non;Oui;Oui;Non;;
2025/11/21 7:50:05 AM UTC+1;18-30 ans;Homme;En emploi;Employé;BAC +3 (Bachelor ou Licence);Oui;"Téléphone;Tablette;Ordinateur;Télévision;Console de jeu";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances";Non;Sites complexes;Non;Oui;Oui;Non;;;
2025/11/21 11:30:19 AM UTC+1;30-50 ans;Femme;En emploi;Employé;Niveau BAC;Oui;"Téléphone;Ordinateur;Télévision";1 fois par jour;1 fois par jour;Oui;Accompagné;Non;"Modification d'informations personnelles;Prise de rendez-vous;Achats (loisirs, travaux, courses...);Banque et Assurances";Non;"Utilisation du numérique difficile;Manque de contact humain";Oui;Non;Oui;Non;;;
2025/11/21 4:16:53 PM UTC+1;18-30 ans;Femme;Etudiant;Etudiant;Niveau BAC;Oui;"Téléphone;Tablette;Ordinateur";plusieurs fois par jour;plusieurs fois par jour;Oui;Accompagné;Oui;"Prise de rendez-vous;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...)";Oui;Sites complexes;Oui;Non;Non;Oui;Oui;Oui;
2025/11/23 1:31:34 PM UTC+1;plus que 80 ans;Femme;Retraité;Employé;Aucun;Oui;"Tablette;Télévision";plusieurs fois par jour;1 fois par semaine;Non;;;;;;;;;;;;Difficulté à utiliser le numérique
2025/11/25 11:10:42 PM UTC+1;18-30 ans;Femme;Etudiant;Etudiant;BAC +2;Oui;"Téléphone;Tablette";plusieurs fois par jour;plusieurs fois par jour;Oui;Accompagné;Non;"Demande de documents administratifs (attestations, actes de naissance...);Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Banque et Assurances";Oui;Manque de contact humain;Oui;Non;Oui;Oui;Oui;Non;
2025/11/27 10:55:14 AM UTC+1;30-50 ans;Femme;En emploi;EJE;BAC +3 (Bachelor ou Licence);Oui;"Téléphone;Ordinateur";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Prise de rendez-vous;Déclaration d'impôts;Achats (loisirs, travaux, courses...);Banque et Assurances";Oui;Manque de contact humain;Oui;Non;Non;Non;;;
